"SAMPLECODE","Class","Family","Genus","Species","SPECIES_SCIENTIFIC","MaxN","Project name","Institute","Responsible person","Fieldtrip","Date","Location","Management","LATITUDE","LONGITUDE","count","duplicated","DATATYPE","OWNER","DAY","MONTH","YEAR"
"14-03_AB_26","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",2,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-03_Algoa Bay",2014-03-24,"Riy Banks","Exploited",-33.98435,25.86192,NA,NA,"BRUVS","NRF-SAIAB MARIP","24","03","2014"
"16-03_AMA_91","Elasmobranchii","Rajidae","Rostroraja","alba","Rostroraja alba",1,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-03-31,"Christmas Rock","Amathole MPA_Gxulu",-33.203923869878,27.6891474053263,NA,NA,"BRUVS","NRF-SAIAB MARIP","31","03","2016"
"14-03_AB_27","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",2,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-03_Algoa Bay",2014-03-24,"Riy Banks","Exploited",-33.98975,25.88593,NA,NA,"BRUVS","NRF-SAIAB MARIP","24","03","2014"
"14-03_AB_30","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-03_Algoa Bay",2014-03-24,"Riy Banks","Exploited",-33.99772,25.87005,NA,NA,"BRUVS","NRF-SAIAB MARIP","24","03","2014"
"14-03_AB_33","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",2,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-03_Algoa Bay",2014-03-24,"Riy Banks","Exploited",-34.00611,25.880433,NA,NA,"BRUVS","NRF-SAIAB MARIP","24","03","2014"
"14-03_AB_34","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",2,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-03_Algoa Bay",2014-03-24,"Riy Banks","Exploited",-33.99252,25.8617,NA,NA,"BRUVS","NRF-SAIAB MARIP","24","03","2014"
"16-03_AMA_92","Elasmobranchii","Rajidae","Rostroraja","alba","Rostroraja alba",2,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-03-31,"Christmas Rock","Amathole MPA_Gxulu",-33.2115077320486,27.688118610531,NA,NA,"BRUVS","NRF-SAIAB MARIP","31","03","2016"
"14-03_AB_35","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",2,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-03_Algoa Bay",2014-03-24,"Riy Banks","Exploited",-33.9892,25.8673,NA,NA,"BRUVS","NRF-SAIAB MARIP","24","03","2014"
"14-04_AB_010","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-04_AB",2014-04-11,"Bird Island","Bird Island MPA",-33.86533,26.25239,NA,NA,"BRUVS","NRF-SAIAB MARIP","11","04","2014"
"14-04_AB_011","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-04_AB",2014-04-11,"Bird Island","Bird Island MPA",-33.86068,26.24876,NA,NA,"BRUVS","NRF-SAIAB MARIP","11","04","2014"
"21-05_WILD_037","Elasmobranchii","Dasyatidae","Pateobatis","jenkinsii","Pateobatis jenkinsii",1,"SCF","NRF-SAIAB MARIP","Anthony Bernard","21-05_Wild",2021-05-14,"Port Grosvenor","Pondoland MPA_no-take",-31.44509,29.85403,NA,NA,"BRUVS","NRF-SAIAB MARIP","14","05","2021"
"14-04_AB_014","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-04_AB",2014-04-11,"Bird Island","Bird Island MPA",-33.86017,26.25222,NA,NA,"BRUVS","NRF-SAIAB MARIP","11","04","2014"
