"","DATE","BEACH","SPECIES_COMMON","DAY","MONTH","YEAR","SPECIES_SCIENTIFIC","DATATYPE","LATITUDE","LONGITUDE"
"97",2012-03-03,"CLOVELLY","WHITE SHARK","03","03","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"98",2012-02-05,"CLOVELLY","WHITE SHARK","05","02","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"99",2012-02-05,"CLOVELLY","WHITE SHARK","05","02","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"100",2012-02-04,"CLOVELLY","WHITE SHARK","04","02","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"101",2012-02-04,"CLOVELLY","WHITE SHARK","04","02","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"102",2012-01-02,"CLOVELLY","WHITE SHARK","02","01","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"103",2011-11-19,"CLOVELLY","WHITE SHARK","19","11","2011","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"104",2011-10-30,"CLOVELLY","WHITE SHARK","30","10","2011","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"105",2011-10-13,"CLOVELLY","WHITE SHARK","13","10","2011","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"106",2011-10-08,"CLOVELLY","WHITE SHARK","08","10","2011","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"107",2011-10-08,"CLOVELLY","WHITE SHARK","08","10","2011","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"108",2011-10-08,"CLOVELLY","WHITE SHARK","08","10","2011","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"109",2011-10-08,"CLOVELLY","WHITE SHARK","08","10","2011","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"110",2011-10-08,"CLOVELLY","WHITE SHARK","08","10","2011","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"111",2011-10-07,"CLOVELLY","WHITE SHARK","07","10","2011","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"112",2011-05-02,"CLOVELLY","WHITE SHARK","02","05","2011","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"113",2011-04-27,"CLOVELLY","WHITE SHARK","27","04","2011","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"114",2011-04-06,"CLOVELLY","WHITE SHARK","06","04","2011","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"115",2011-03-27,"CLOVELLY","WHITE SHARK","27","03","2011","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"116",2011-01-09,"CLOVELLY","WHITE SHARK","09","01","2011","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"117",2011-01-04,"CLOVELLY","WHITE SHARK","04","01","2011","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"118",2010-12-18,"CLOVELLY","WHITE SHARK","18","12","2010","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"119",2010-11-13,"CLOVELLY","WHITE SHARK","13","11","2010","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"120",2010-11-12,"CLOVELLY","WHITE SHARK","12","11","2010","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"121",2008-12-27,"CLOVELLY","WHITE SHARK","27","12","2008","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"122",2008-03-25,"CLOVELLY","WHITE SHARK","25","03","2008","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"123",2007-12-31,"CLOVELLY","WHITE SHARK","31","12","2007","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"124",2007-12-13,"CLOVELLY","WHITE SHARK","13","12","2007","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
