"SHARKID","DATE","SIGHTING","SPECIES_SCIENTIFIC","SPECIES_COMMON","DAY","MONTH","YEAR","OWNER","DATATYPE","LATITUDE","LONGITUDE"
2009050501,2009-06-27,1,"CARCHARODON CARCHARIAS","WHITE SHARK","27","06","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009050501,2010-03-14,1,"CARCHARODON CARCHARIAS","WHITE SHARK","14","03","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009050502,2009-05-05,1,"CARCHARODON CARCHARIAS","WHITE SHARK","05","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009050502,2009-05-27,1,"CARCHARODON CARCHARIAS","WHITE SHARK","27","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009050502,2010-03-27,1,"CARCHARODON CARCHARIAS","WHITE SHARK","27","03","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009050502,2010-04-03,1,"CARCHARODON CARCHARIAS","WHITE SHARK","03","04","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009050502,2010-07-09,1,"CARCHARODON CARCHARIAS","WHITE SHARK","09","07","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009050701,2009-05-07,1,"CARCHARODON CARCHARIAS","WHITE SHARK","07","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009050702,2009-05-07,1,"CARCHARODON CARCHARIAS","WHITE SHARK","07","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009050702,2009-06-29,1,"CARCHARODON CARCHARIAS","WHITE SHARK","29","06","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009050702,2009-07-15,1,"CARCHARODON CARCHARIAS","WHITE SHARK","15","07","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009050702,2010-03-08,1,"CARCHARODON CARCHARIAS","WHITE SHARK","08","03","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009050702,2010-04-03,1,"CARCHARODON CARCHARIAS","WHITE SHARK","03","04","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009050702,2010-05-22,1,"CARCHARODON CARCHARIAS","WHITE SHARK","22","05","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009050801,2009-05-08,1,"CARCHARODON CARCHARIAS","WHITE SHARK","08","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009050802,2009-05-08,1,"CARCHARODON CARCHARIAS","WHITE SHARK","08","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009050802,2009-05-14,1,"CARCHARODON CARCHARIAS","WHITE SHARK","14","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009050901,2009-05-09,1,"CARCHARODON CARCHARIAS","WHITE SHARK","09","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009050901,2009-05-12,1,"CARCHARODON CARCHARIAS","WHITE SHARK","12","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009050901,2009-06-12,1,"CARCHARODON CARCHARIAS","WHITE SHARK","12","06","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009050901,2009-07-11,1,"CARCHARODON CARCHARIAS","WHITE SHARK","11","07","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
